author,text
patric help,실제로 예수 중국인화 진행중임
patric help,하지만 14억 중국 인민들은 믿겠지....
H. Park,어오 누무 시원해요 @!!!!@@
KI MA,그래도 고대 중국은 한국 한정으론 따거였다구. 현대 중국은 띠껍지.
Bondrewd The Novel,"무식한 중국인들은 청나라가 조선의 속국이였다는것도 모르는건가?
그 증거로 4세기 중엽에 새겨진 고구려 고분의 벽화 수박도에는
조선에 조공을 바치는 청나라 사신이 그려져있다"
이끼예,"핑핑아 제발 뒤져,,,.,.,.,.,.,."
stive jin,"공산당이 무서운 이유
보통국가:  정권=/국가
공산국가: 당=국가
보통국가는 정권과 국가를 동일시하지 않기때문 정권이 잘못된 방향으로 나아가면 국가를위해 항의하거나 뒤짚을수있음.
공산국가는 당이 곧 국가이기때문에 당의지침에 반대하는건 곧 반역행위..
실제로 공산국가사람들은 당과 국가의 차이점을 잘모름."
신짱구,중공 징글징글허다 ㅋㅋ
37식다이카,"게임에 신경쓰는사람이 없었다면 어떻게됐을까
이미 세상은 개판이되지않았을까...."
임선욱,분노하되 냉정과 이성을 유지하는 모습 감명 깊습니다. 항상 응원합니다.
ㅇㅇ,지구도 고대 중국인이 만들었음ㅇㅇ
상운최,비추69는 중국인들인가
Rain splatter,이건 선을 넘었다. 우리나라에서 역사를 훔쳐가려 하는데 이래도 중국몽이냐.국가차원에서 강경대처해야한다. 옛날부터 역사적으로 계속 침략받아왔는데 이번에도 참는다? 우리나라가 그딴 나라이지 않았으면한다.
JiMin Park,중국은 세계의악이다
See In,#hanfu_challenge 韩服是民主化运动的象征 我感受到了很多中国人希望用'#한푸도전'来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. #한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. #한푸_도전 #汉服挑战 #hanfu_challenge
랜덤캐리,쟤네 진짜 궁금한게 지들 논리대로면 아시아 땅 전부가 몇백년전부터 중국꺼랑 뭐가 달라.....
uu Y,동북공정이 이젠 별 거지같은 것들까지ㅋㅋㅋ
Artist Jetty Park,"뭐야 다 자기 꺼래 잡종도 아니고,,,"
choi현서,나는 공산당이 싫어요
몽실몽실몽쉬르,마지막ㅋㅋㅋㅋㅋㅋ
Freakiest,이게 유튜브에서 짤려야 마무리가 이쁠텐데. 아! 구글에게조차  중화머니의 젖꼭지는 너무 달았어...
우림,진핑진팡아.. 마오~~~~  막짤페이드아웃 짱입니다요 ㅎ
hall bot,하 저기서버 새로고침 테러로 북한처럼 당해봐야 ㅆㅂ 정신차리지
甘雨,"쟤들이 저리 발작하는 이유가 있음 ㅋㅋㅋㅋ 지금 중국의 문화 대부분은 청나라때 남은 만주족 유산이고, 명나라때 이어져 내려오던 자기들의 문화는 청때 싸그리 멸족당했거든. 그나마 남아있던 유산? 그거 전부 문혁때 불태워짐 ㅋㅋㅋ 공자묘가 파헤쳐졌을 정도니 걍 말 다했음."
조폭마누라,어휴  시진핑핑이
하화,"마지막에 핑핑ㅣ ㅋㅋ

와진짜 트위터 가만히 있어도 중국 놈들이 불특정 다수가 아무나 한명 잡고 욕하고 다닙니다"
Ll Love me like you do,애초에 대한민국 대통령을 시작으로 정부부터 언론까지 중국 빨아재끼는데 ㅅㅂㅋㄱㅋ 믿을건 우리뿐이다
김심바,"속이 다 후련하네요ㅋㅋ
샤이닝니키 중국서버에 한복이 중국 소수민족인 조선족의 의복이라고 다시 풀었다는거 같더라구요ㅋㅋ"
연체어,달님.. 보고 계세요
혼콘,중국이 지구상에서 없어져야 전 세계에 평화가 찾아온다...
asd f,진짜 한족이면 중화뽕에 동이족 복식 거를텐데 왜 저러냐. 태권도가지고도 그러더니 남의 나라 껄 지들꺼라 우기기 바쁘네. 타이완 넘버원
스앤,"자꾸 그 말이 생각나네요^*^
뭐 어디까지 즈그꺼라고 우길까 궁금하네욯ㅎㅎㅎㅎㅎ"
김건하,중국논리: 중국에서 문화받았으니까 니네 문화 내꺼(?) ㅅㅂ그냥 전세계문화가 아프리카꺼라고 해ㅅㅂㄹㄷㅇ
DUSTY LIFE,비정상회담같은데서 장위안같은 애들이 중국인민들은 잘못없다. 중국은 강대국이다. 과도한 중국 때리기를 자제하라 등등 씨부릴때마다 쌍판때기를 후려갈겨주고싶던데 아니 ㅅㅂ 그 개같은 쭝궈 병신 어그로부터 자제하라고 역병들아. 시진핑이 죽으라면 죽을거냐? 아 죽는다고? 어 그래 ㅋㅋ
BIckddn,"아오 벌레ㅅㄲ들 
이건 벌레입장도 들어봐야하나?"
이름,중국 그냥 씹 찐따 새끼네 ㅋㅋㅋㅋㅋ
Hayabusa,실지 중국땅도 한족 역사는 일부던데. 그런데도 인구15억 찍는거보면 벌레급 번식력..
권진아,싫어요 69명 조선족 등장 ㅋㅋ
장수돌지뢰,속이 다 시원하네 후..
3309성호,샤이닝 니키 섭종 된건가 ㅋㅋ
Young-Ho Jung,진짜 제대로된 메이드인 차이나는 우한폐렴밖에 없다
chan lee,모두 꽉잡아!!! 디지털 홍위병이 몰려온다!!!
Wind Flower,그전에 원때도 개털림
김현명,지들이 신나게 때려부쉈죠ㅋㅋ
성이름,중국인들은 남의것을 뺏는것밖에 못하는듯 ㅋㅋㅋㅋ 무식한 인간들 ㅉㅉ...
甘雨,"추가로 그나마 남아있던 문화유산도 장제스가 사람보다 유물을 먼저 챙기면서 진귀한 문화유산들을 갖고갔는데, 마오쩌둥은 나중에 짜피 찾아올거임 건들지 마셈 ㅋ 이러면서 결국 명.청대 수많은 문화유산들이 대만으로 갔고, 지금 국립고궁박물관에 있음. 근데  그 후에 문혁이 터졌는데 만약 장제스가 못들고 튀었거나 대만까지 공산화 되었더라면 그 수십만개의 유물들중 몇개나 살아남았으련지..."
BUGAT LOLA,나라밖에서 관광 한답시고 유적지나 문화재 훼손 밥먹듯이 하는 거 보면 지네나라 유적지따위 남아있을리 만무하다
ㅇㅁㅇ,오랑캐의 나라
성이름, @iwishtheboss  미쳤네 진짜요???
담별, @늘야  솔직히 난징대학살가지고 뭐라 하는건 좀 그럼. 거기서 죽은사람들은 중공놈들이 아니라 자유중국(중화민국)국민들이자너..
늘야, @담별  선넘은거같넹 지송지송
김정수, @Wind Flower  무슨 원... 원을 털어먹은게 한족들인 명인데
Invin K,"원도 짧지만 잘나가긴 했음. 청이나 원이나 서양쪽과 교류도 많이 해서 문물흡수도 했고, 서양은 청에서 유교 도교등 동양철학을 가져가 자기들 철학과 결합시켜 계몽사상 만들어 퍼트리고 근대화 초석으로 삼았지. 결론은 뭐다? 한족은 개털이고, 북방 아시아계열 민족들에게 쨉도 안됨. 지금은 멍청한 한족이 중국의 주류라 다행임 ㅋㅋ 마오쩌둥의 개 삽질 덕에 우리나라가 수출 등으로 잘나갔고, 지금도 우리 턱밑까지 쫒아오긴 했지만 중화주의라는 광역 어그로를 끌면서 다시 자폭의 길로 걷고있음. ㅋㅋㅋ"
김경수,더 골때리는사실 현재 공자 직계후손들은 대만에 살아있는데 장제스가 대만으로 탈출할때 같이 탈출해서 현재 대만의 봉사관직위로 있는데 문제는 진짜 몸만 탈출해서 유교관련 지식이 대부분 소실되버린지라 되려 한국으로 와서 종가문화같은 유교문화를 오히려 배우러 온적도있다
Boris,"모든 아시아 문명의 근원은 중국에 있다
증거는 위대한 마오와 홍위병이 모두 불태웠다"
찰떡,다른민족에 노예로만 살던애들이라 남의것 뺐는것 밖에 할줄모름
김경수,중국놈들은 애초 지네들이 중화문명의 정통계승자라고 떠들자격도없음 옛날중국왕조들은 공자의 후손들이 맡던 직책인 연성공의 보장이 없으면 정통성을 인정받을수없었는데 마지막 연성공이자 초대 봉사관이었던 공덕성(중화민국 법규상 왕정체제에 있던 연성공직위가 인정되지않아 봉사관을 따로만듬)이 장제스랑 같이 탈출했고 거기다 홍위병놈들이 스스로 공자무덤을 박살냈기때문에 후계자운운도 못함 장제스와 그 이후 대만은 자기네들이 중화문명의 정통계승자라며 지금까지도 중국을 놀리고있음ㅋㅋ
Boris, @김경수  공자 무덤(아작남)
독도킥 마스터 기무장균,천안문
양창우,청나라 유물도 대만이 싹가지고감 ㅋ 째네 있는게 없음
uki kaze,원때는 아니었지만  청나라애들은 문화쪽에 관심이 많아서 이쪽은 보존을 잘했음.  처음에 중화사상 깨부순다고 관련된 서적같은거 엄청 태우고 그랬는데 건륭제때 가서는  중화사상ㅗ -> 걍 우리가 중화니까 중화사상 땡큐로  바뀌어버려서 ㅋㅋ   중궁 고전문화 박살낸건 죄다 마오쩌둥 공산당놈들이지 청나라한테 뒤집어 씌우면 곤란함
6sinegohwan,중국이 중국했누
jaesul shim, @Juseok K  문화대폭동 때 진짜로 자기들 부모 죽였잖음
Shawn Montana,사실 남중국은 베트남인의 조상인 월나라 인들이 지배하던 땅이었다
Talker Listens,마오씨발놈 ㅋㅋㅋ
Jay Kim,중국은 존재 자체가 민폐다
KAI Ko,"자존감도 없고 자존심도 없으며 양심은 찾을 수가 없는 불쌍하고 안쓰러운 놈들(모든 중국인이 이렇다고는 생각하지 않습니다).......
그거야 세뇌로 커왔으니 그렇다고 치자.
그간 겪어왔던 부패와 정권의 억압으로 죽어간 자국민들에 대해서는 배가 불러지니까 아무 생각없이 살고 있는 대부분의 중국인들.
이래서 중국은 절대로 어느 정도 한계 이상으로는 발전할 수 없고 세계에서 인정받을 수 없다.
중국인들이여, 깨어나라.
거짓과 억압에서 벗어나 진정한 나라를 스스로 만들어라."
스타소울,???: 아 사실 한복이라는 것도 중국에서 온거거든요
Buster Left,중국도 중국이지만 한국정부가 중국 따까리를 자처하는게 더 큰 문제. 중국 담당 일진이 미국인데 미국과 동맹국인거 내팽개치고싶어서 탈주각 재고있는 정신나간 정부
아름답다,중국것이 아닌거 민주화
k ain,"조지 오웰...보고 있습니까
1984는 이미 벌어지고 있네요
나중에는 로마식 경례도 지들거라 하면서
하일 시진핑 이러겠네 ㅋㅋ

소련이 끝장나니까 이젠 중국이 시뻘건 손아귀를 들이대고 있다"
겖갬,"못 배운 새1끼들은 무식해서 무섭고
배운 새1끼들은 사악해서 무섭고
그 모든 게 있는 공산당은 말할 가치도 없고"
Joseph Kim,마오 핑핑 마오 핑핑 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JK JIN,댓글에 그거좀 달아줘요 님들 그 자동 :나는 개인이오; 발사 시키는 사이트 그거 교묘하게 속여서 중국인들 낚게
원첸,ㅋㅋ그래서 6월4일에 천안문에서 무슨일이있엇냐구아 ㅋㅋ
마나자까 MANAZAKA,세계에서 민폐성 가장 높은 나라.
kim BK,"맞는말임











쳐맞는말"
FATMAN HSM,나중엔 지구를 중구라고 부를지도 모르겠네;;;
요크바지,漢服 ㄷㄷㄷ 중국인들 무섭네요
탈렌,비추는 조선족인가? ㅋㅋㅋㅋ
빵야,진짜 속 시원하다
김똥귺,마오 ~ 쩌둥
선무당,짱들 저러는거 솔직히 3차세계대전가자 이느낌임
일반인,"중국인들은 늘빡대가리다 ㄹㅇㅋㅋ


韩服是民主化运动的象征
我感受到了很多中国人希望用'#한푸도전'来实现民主主义。
支持你们的勇气。
한복은 민주화운동의 상징이다.
#한푸도전 으로 민주주의를 실현하려는
중국인들의 열망을 느꼈다.
너희들의 용기를 지지한다.
#hanfu_challenge
#汉服挑战
#漢服チャレンジ
#為了民主
#한푸_도전"
Brandon Park,"성회형님 조심하세요....중국 공산당에서 우리나라 정부에 g식백과 말살 지령 때리면 어쩌시려구 ㄷㄷ 
어느 날 왠 문신돼지국밥허벌육수충 같은 놈들이 때로 몰려와서 현관문을 '문문문' 하고 두드리면 너무 무서울 듯"
Escore,민주주의 맛을 봐야지 가만히 있을려나..
김대중,진짜 중국돈에서 손때자 이러다 영혼까지도 팔아먹겠다
Legion,다가져갈거면 코로나도 중국거라하지 왜 코로나는 중국거 아니라하는거지
김우진,중국이 중국했다 ㅋㅋㅋ
demian kim,"여러분, '금나라' 그 다음 '후금' 그 다음의 '청나라'는 신라인이 세운 나라입니다. ""흠정만주원류고'"" 에 당당히 나와 있습니다. 흠정만주원류고는 청나라 황실에서 만든 역사서입니다. 우리의 진짜 고대사를 우리가 모르고 있습니다. 그리고 ""몽스터치"" 검색해 주세요."
런개,"이후로 영상 안나오면
지식백과님 중국 공산당 지하실에서 중화사상 세뇌 당하는걸로 알고 있을께용"
김남기,아니 시발 핑핑아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
김현철,아...ㅋㅋ 중국국민들한테 새해 문우인사하던 그 분이 생각나누만~ 우한짜요~
jm c,"자기문화가 없는 한족의 문화를 부흥하자니 도대체...
자기 문화라고 주장하는 것들은 대부분 흡수한거지 싶은디"
행정보급관님,5:53ㅋㅋ 시원하다 그걸 늬들만해주면 된다고!
에이포스 홈미케닉A-Force,스펀지밥 방송불가 딱지 붙뎄는데여? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
남재민,"FREE HONGKONG REVOLUTION
광복홍콩시대혁명"
박달나무의 왕,솔직히 말해서 지금 한족이 중국땅에 존재하기나 하나요? 제 입장에서는 소수민족의 후예들이 스스로를 한족이라 부르며 안 맞는 옷을 껴입고 억지부리는 것 같은데요. 최소한 예전 한족들은 근거는 들고왔어요. 제대로된 근거요
Wonho Kim,"팩트 
명의 한푸는 원명 교체기에 고려의 영향을 받은 고려양의 영향을 받고 만들어진 아류
그 이전의 의복의 경우 원나라의 모태격인 몽골에 많은 영향을 받아 몽골의 의복과 비슷한 형태였으나
고려의 영향으로 한복과 유사한 한푸를 입게됨 
 
장욱 <궁중사>
"" 张昱《张光弼诗集》卷三《宫中词》： 宫衣新尚高丽样，方领过腰半臂载，连夜内家争借看，为曾着过御前来。""
 ""궁중에서 새롭게 유행하는 것은 고려양이라네 방령에 짧은 허리, 반소매 궁중 여인들이 밤까지 이어져 구경하려 하네  이는 고려 여인이 황제 앞에 이 옷을 입고왔기 때문이라네""


 <속자치통감 권이백일십사 원기삼십이>
《续资治通鉴 卷二百一十四 元纪三十二》记载：“后亦多畜高丽美人，大臣有权者，辄以此遗之，京师达官贵人，必得高丽女然后为名家。自至正以来，宫中给事使令，大半高丽女，以故四方衣服、靴帽、器物，皆仿高丽，举世若狂。”
 ""왕공귀족도 역시 고려미인으로 삼아, 대신과 권력 있는 자는 곧 이를 귀하게 여겨, 수도 고관 귀인은 반드시 고려여자를 얻은 후에야 명가가 된다. 그렇게 된 이래, 궁중의 일을 하는 사령 대반이 고려여자이며, 이런 이유로 사방의 의복, 신발과 모자, 기물 모든것을 고려를 모방해, 온 세상에 미친 것처럼 일고있다."" 

이쯤에서의 킹리적 갓심
고려양의 영향으로 한푸를 만들고 지금은 그 원조격인 한복을 자기네것이라 우기는데
KDA 꼬라지 보면 나중가면 k-pop도 중국거라고 할거 200%%%"
Zinn Kim,중국인들은 저렇게 안하면 중국정부에 끌려가서 죽지않나요?
대충이름,애초에 이번 사건으로 중국 불매한다 그런사람 있는데 중국시장에 뭐라 하고 싶음 롤부터 끊어야 하는데 한국사람들 롤 없음 못살잖아...? 다른방법 찾아봐야지ㅋㅋ
하드코어 에이다,시진 핑핑이 마오~ 쪄둥
꿀벌댕댕,짜장놈들 하나의 중국 = 지구가 우리의 것.
seasonic,"수천년의 역사를 지녔지만 지들손으로 2번이나 불태워 버리고 
이웃나라 역사 지들꺼라고 우기는 위대한 나라 중국."
demian kim,"여러분, 지금 나라가 위험합니다. 중국이 보이지 않게 정치적으로 침략하고 있습니다. 우리나라 정치인들이 많은 부분을 매국행위로 팔아먹었습니다. 국민들 정신차려야 합니다. 반중해야 합니다. 유일하게 김정민박사님만이 일을 추진하고 있습니다. '몽스터치' 검색해 주세요."
조성준,물량이 덜덜하긴하지
김누,빡종공지 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
파트라슈방송하는,"코로나만 중국게 아니라고 하는 거 봐.

코로나 빼고 다 자기꺼래"
케일리헤밀튼,ㅋㅋㅋ 한국 그렇게 당하고도 불호가 75에 호가 24나 되는게 신기하네 미친 개돼지새끼들
SoulbomB,새삼 BTS와 아미의 대단함에 김탄
방키 Bangkey,"X리웹에는 온갖 중국 지분 게임 하지 말라는 개소리들 있는데, 성회형이 영상 보고 좀 반성하길 바란다."
월야,자기가 잘났다고 말하는 사람들의 특징이 주변에서 욕먹는지 모르고 까놓고 보면 할줄아는게 없음 이걸 국가단위로 보고있는게 중국임
슬픈나무,중국 게임 하면 병신임 롤=중국게임
Great Galder,진짜 기생충이다. 인류 최학인종
알찬채널 R Chan,"많은 부분에서 우리나라 뿐만 아니라 많은 아시아 국가들이 영향받고 도움받았다. 과거에 우리나라도 힘을 빌리기도 하고 조공도 바치며 큰나라로써 모셨다. 인정.
중국의 역사는 유구하고 찬란한 과학과 문학, 문화를 꽃피웠었다..인정..근데 꽃피웠""었다"" 어차피 과거형인데
종이 발명, 화약발명, 좋은거 많으니 그거나 물고 빨지 왜 아닌것까지 따져들고 먹겠다는건데...과거에도 민폐꽤나 있었지만 가면 갈수록 내꺼 내꺼 니꺼 내꺼야..
초강대국 미국에 휘둘리는것도 좋지만은 않다만 그래도 그 자리에 중국이 가면 절대 안된다는 생각이 새삼 또다시 떠오르네"
적설,애비를 죽인 똥싼당!
디귿,역시 중국은 최악이야
pengs,free hk
드그드드,아리랑도 그렇고 어쩜 이렇게 뺏어갈 생각만 할까 ㅋㅋㅋ
ᆞᆢ,마지막ㅋㅋㅋ
이종환,그럼 오랑캐 피섞인 놈들부터 싹다 죽이든가.. 자살하든가 하고 문화 되찿자 ㅇㅈㄹ떨던가 ㅈㄹ 떨거면 지들 뿌리나 제대로 확인하라고.. 남의 뿌리 뽑지 말고
비프소다,중궈들 열등감 무섭다해
Y.G.L K,시원~~하게 말씀 잘하시네요. 说得真痛快~
수민,설마 여기까지오는거 아니지 홍위병새끼들 지들문화만 부숴라
David Kim,"9:10
중국 보시라이의 인체 신비전 말하는거네요 ㅋㅋㅋㅋ
요약하자면 중국 공산당 정치인 보시라이 부인인 쿠카이라가 
보시라이와 내연 관계였던 장웨이제를 죽인다음 인체 신비전에 출시한 사건이죠 ㅋㅋㅋ
뭐....중국은 장웨이제의 시체가 아니라고 하지만 ㅋㅋㅋㅋ 다 알 죠? ㅋㅋㅋㅋ

역시 대단하다!!! 공산당!!! 정말 가슴이 웅장해진다 ㅋㅋㅋㅋㅋㅋㅋ"
557 959,"어디서 그거봤는데
일본 : 그래도 중국놈들보단 한국이 낫지...
중국 : 그래도 일본놈들보단 한국이 낫지...

한국 : 둘다 꺼져 그냥;"
Cold Truth,중국으로 인해 우리나라가 공산화 되서 김독재자 집안 섬기며 노예처럼 살뻔하고 군인들도 얼마나 많이 죽고 나라도 반으로 갈라졌는대 왜 이런 적국과 같은 나라를 중국몽 어쩌면서 눈치를 봐야 하나. 말이야 바른 말로 일본은 나라를 분단 시키지도 않고 공산화 시키지도 않고 개발 시킨것도 많은데 오히려 더 싫어하면서
Dan Lee,"한국에서 정치하는 놈들 중에 ""친중"" 하자고 하는 놈들은 여야 막론하고 박정희 대통령이 화교 때려 잡았듯이 때려 잡아야됨. 안 그럼 30-40년 후에는 여의도 절반이 화교, 친중 정치인한테 먹히고 대한민국에서 한국인은 2등 시민이 될거임."
지중해,"진짜 무서운게 
만약 6.25때 중공군에게 밀렸다면 아마 우리는....생각만해도 끔찍하다"
haskil,중국은 없어져야할 나라임
냠,"누군진 까먹었는데 원신 GM한명이
저사건보고 한복한국꺼라 했는데
다음날 댓삭제되고 글이 안올라 오고있어...."
라찯다,"중국어도 배웠고 동아시아사에 관심이 많은 사람으로써 참 중국의 행보가 이해가 안갑니다. 흔히 말하는 무협지, 삼국지, 서유기, 수호전에 우리나라 고전작품중 중국배경인데 허다한데 말이죠. 중국의 행보에 우리나라 문화가 눈뜨고 코 베일까봐 두렵네요. 이런점에서  BTS의 힘에 참 대단하게 느껴지는 바입니다."
스댕,한국인들이...공자가..한국사람이라고 했다고...난리치던 애들임..한국사람들 중에 공자가..한국 사람이라고 생각 하는 사람 있던가?
박정재,형님 마무리 완벽했다 ㅋㅋㅋㅋㅋ
엄저녁,천안문에는 좀더 많은일이 생겨야한다...
naji yowo,중국은 지역락만이 살길이지
미미남 美味남,중국거아닌거는 코로나잖아요 ㅎㅎ
어느나라대통령?,이래도 친중해?ㅋㅋ
JK WHY,나는 너를 지지한다
Mr 유진,아잌ㅋㅋㅋ 핑핑이에서 뿜었네
天安门,시진핑핑이가 이 영상을 싫어 합니다
Seongbong Heo,7:06 이탈리아 프랑스 한결같네 ㅋㅋㅋ 미친
김한겸,마지막의 핑핑이 ㅋㅋㅋ
가나다라마바사,"나중가서 아니라고 밝혀진 건 맞는데 지금까지도 이렇게 믿는 사람들이 많은 건 바퀴벌레 새끼들이 얼마나 신뢰가 없는지 보여 주는 거지 ㅋㅋ 

저 새끼들이 한 짓을 생각하면 사실 그게 진실이어도 이상하지 않을 수준이긴 했음"
David Kim,피지컬로티어올림 장웨이제로 의심되는 표본에 대한 DNA조사는 이뤄진 적이 없고 주최측에서만 장웨이제가 아니라는 말만 했는데 혹시 어디서 장웨이제가 아니라고 확실하게 밝혀졌는지 알수있을까요? 제가 알기로는 유족측이 장웨이제의 시신이 아니라고만 말했지 정확한 DNA조사가 나온것도 없고 장웨이제의 시체는 아직도 발견되지 않은걸로 알고있습니다
허남기, @가나다라마바사  살아있는 장웨이제가 나와야 풀리는데 안나오는거 보면 아니라고 밝힌것도 구라일듯
신보경,걍 아직도 음모론이고 확실히 밝혀진건 아무것도 없음
박성수,"수출로 먹고살려면 하긴해야함 ㅋㅋㅋ, 이번대선 트럼프가 되서 확실하게 중국좀 혼내줬으면 했는데 ㄲㅂ"
정신병자,ㅋㅋㅋ 진짜 개빡쳣나보네 ㅋㅋ
조약돌,언제나 까도까도 신나는 중국~
Full베어,청나라 놈들이
이상한조,"""핑핑아""
""마오""
마무리 레전드내"
Crest Mirage,"0:55 왼쪽의 외국 지역을 중화 인민 공화국의 불법 지배 지역으로 표시하다니, 불편하네요.
티벳과 위구르는 괴래 정부인 중화 인민 공화국에 의해 식민 지배 당하는 상황입니다.
아무리 식민 지배 당하더라도 외국은 외국이니 저 두지역은 중화 인민 공화국 지배 지역에서 제외 되어야 한다 생각합니다.
이를 알고 올바르게 표기해 주셨으면 합니다."
Rupert,"6:35 인도가 없네
인도 있었으면 불호 99퍼인데"
흐냑,중국은 가면갈수록 호감떨어져
이승현,중국:트랜치 코트는 중국전통복.
JK WHY,존나 멋있네?
시꾸,핑핑아 핑핑아 마오~
조은친구,"지금 이사태를 완벽하게 해결하는법








중국이 20개 나라로 분열하면됨"
주쯧,ㅋㅋ갈라져라 소수민족~~~~
igalluk,"요즘 보면 중국기원이라고 믿어 왔던게 얼마나 맞는지도 궁금함.
예전에 어떤 중국학자가 한자도 중국께꺼아니라고 했다는 말을 들은 적이 있는데.."
PAPA pA,참고로 영상에 나오는 일러레를 소전에서 리베롤이랑 리엔필드담당한 일러레 레이가 옹호하면서 웨이보에서 한국인들 멍청하다 조롱하더라고요 알아두시라고요
jonny dbo,병신들 ㅋㅋㅋㅋㅋ 청나라시절 생각 못하나? 그 큰 땅덩어리 가지고 외국에 한번도 이겨보지 못한 병신 국가
롤랑,"모든걸 금지당한 중국 인민 찌꺼기들이
이악물고 우리 너무나도 자유로운데?!?하면서 현실을 외면하며
머릿수믿고 남의나라를 깔보는 짓을 하고있는거죠

중요한건 중국에서 사람 머리는 천안문때 다 깨졌고
지금 남아있는 머릿수는 14억개의 돼지대가리 뿐인데 이걸 믿고 나대고 다니는게 안쓰럽고...

아무리 생각해도 중국한테 핵 한발 쐈어야 했다"
ralf Du,하 위로는 쭝꿔 옆에는 니뽄 오지게도 그짓말쟁이 사이에 둘러 쌓여있구만 제기랄
최규민,"진짜 이것때문에 다른것들도 다 터지는거 아닌가 무섭기까지 합니다. 
아이러니하게도 국내 겜 하는것도 없는데
이러다 터지면 스테미너(체력) 엄청 안 차는 메인으로 하는 일본 게임 하나만 남으니 
자연스럽게 콘솔충 되는건가 싶기도 하네요
일이 이렇게 되니 아무거나 차선책 찾아서 국산 갓겜 하면되지 - 가 안되는 현실이 점점 더 슬퍼지네요"
걷구,결론은 페이퍼게임즌가 뭔가는 신비해지지 않기 위해 어쩔수 없이 발악했다는거네
Gravity,"뚱이: 핑핑아
핑핑이: 마오.......







쩌뚱"
brouk kim,문닫는 소리까지 완벽
바크테리,마무리 개 시원 ㅋㅋㅋ
정윤성,고구려한테 개쳐발린 당나라는 뭐냐? ㅋㅋㅋㅋㅋㅋ
마샬D티치,전 세계의 악 중국. 지구의 암적인 존재. 제발 망해라 중국
엘리시아,개인적으로 세계사에서 영국이랑 일본이 중국에 했던 짓 별로 좋게 안봤는데 이젠 아니다 그 때 저 병신 집단 싸그리 죽여서 없애야했어
보영만보영,"한복이 너네꺼라고? 그래?
안되겠다... BTS 데려와... 애들 한복 입혀"
승범이.,국개의원:닥쳐 돈받아쳐먹었다고!!!!
MJ,이분 이러다 짜장면 배달가겠다ㅋㅋ
라델린,감사합니다. 이번에 나온 C(?)/DA 뭣같은 세*핀 도 다뤄주세요. 짜증나서 미치겠습니다.
은청월,마지막에 핑핑이ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
홈스,"시진핑핑아!




마오~ 쩌둥~"
PlUs UItra,핑핑아! 핑핑아! 마~오 ^^
ᄋᄉᄋ,페이몬 살아있나?
탁이스쿨YouToube,"중국은 개소리 잘하네 ㅋㅋ 미친놈인가 ㅋㅋ
한복은 대한민국의 전통 의상이야 미친놈들아
중국 공산정권 타도 !!!! 중국 공산당은 전세계 문화와 미디어를 통제 하려고 든다 이건 명백한 전쟁 행위다 다른나라의 문화와 역사를 부정하고 자신의 것이라며 억지 주장하는 중국 공산당 쓰레기들아 ㅗㅗ"
메르시김밥,"땅이 넓어 대국인데 
사람들 속이 좁아 소국이라
중국이라 부르는게 진짜 명언인듯"
파피야루,진짜이제중국이라면진절머리가난다...
